"location","lon","lat"
"south san francisco, california",-122.414199829102,37.6560707092285
"oakland, california",-122.273071289062,37.8050804138184
"san francisco, california",-122.419639587402,37.7771186828613
"berkeley, california",-122.270538330078,37.8698806762695
"belvedere tiburon, california",-122.456130981445,37.8736991882324
"san mateo, california",-122.314849853516,37.5470390319824
"daly city, california",-122.472793579102,37.691089630127
"san leandro, california",-122.158508300781,37.7282600402832
"atherton, california",-122.197799682617,37.4624786376953
"san rafael, california",-122.532470703125,37.9745712280273
"walnut creek, california",-122.061622619629,37.901180267334
"menlo park, california",-122.178581237793,37.4553298950195
"belmont, california",-122.276206970215,37.5183410644531
"san jose, california",-121.88542175293,37.3386497497559
"palo alto, california",-122.160789489746,37.4446601867676
"emeryville, california",-122.301750183105,37.8371696472168
"el granada, california",-122.469993591309,37.5021591186523
"castro valley, california",-122.085891723633,37.6944885253906
"fairfax, california",-122.590377807617,37.9851684570312
"mountain view, california",-122.081596374512,37.3896713256836
"burlingame, california",-122.35066986084,37.580249786377
"martinez, california",-122.134941101074,38.0139312744141
"pleasant hill, california",-122.062713623047,37.9479904174805
"hayward, california",-122.085540771484,37.6713409423828
"alameda, california",-122.245300292969,37.7668304443359
"vallejo, california",-122.254951477051,38.1009483337402
"benicia, california",-122.153511047363,38.052848815918
"el cerrito, california",-122.311470031738,37.9156303405762
"mill valley, california",-122.548187255859,37.9076118469238
"richmond, california",-122.342712402344,37.9378089904785
"redwood city, california",-122.227722167969,37.4845008850098
"el sobrante, california",-122.313003540039,37.9652290344238
"stanford, california",-122.168922424316,37.4313697814941
"san pablo, california",-122.34236907959,37.9603004455566
"novato, california",-122.567901611328,38.1060905456543
"pacifica, california",-122.491142272949,37.6352615356445
"lafayette, california",-122.128128051758,37.8907699584961
"half moon bay, california",-122.429298400879,37.4631118774414
"fremont, california",-121.98217010498,37.550910949707
"orinda, california",-122.189422607422,37.8836288452148
"san anselmo, california",-122.562591552734,37.9750595092773
"corte madera, california",-122.527221679688,37.9255409240723
"albany, california",-122.297996520996,37.8872718811035
"san carlos, california",-122.262809753418,37.504940032959
"san lorenzo, california",-122.127548217773,37.6804504394531
"foster city, california",-122.268882751465,37.5611381530762
"hercules, california",-122.26538848877,38.0102081298828
"santa cruz, california",-122.030952453613,36.9740600585938
"bolinas, california",-122.689361572266,37.9107208251953
"sausalito, california",-122.488586425781,37.8592414855957
"millbrae, california",-122.396110534668,37.6030807495117
"larkspur, california",-122.535522460938,37.9348983764648
"moraga, california",-122.127281188965,37.8534698486328
"san bruno, california",-122.414138793945,37.6249198913574
"petaluma, california",-122.644439697266,38.2324714660645
"pinole, california",-122.291389465332,38.0044212341309
"san geronimo, california",-122.668472290039,38.0144081115723
"crockett, california",-122.220970153809,38.0554504394531
"boulder, colorado",-105.279243469238,40.015739440918
"brisbane, california",-122.402076721191,37.686840057373
"freedom, california",-121.777770996094,36.9382705688477
"montara, california",-122.515022277832,37.5423202514648
"green brae, california",-122.519996643066,37.9459190368652
"woodside, california",-122.25309753418,37.4293098449707
"new york, new york",-74.0071411132812,40.7145500183105
"ross, california",-122.555938720703,37.9627113342285
"east palo alto, california",-122.139572143555,37.473201751709
"san quentin, california",-122.495887756348,37.9449005126953
"portland, oregon",-122.675628662109,45.511791229248
"rodeo, california",-122.266983032227,38.0327796936035
