id,member_id,loan_amnt,funded_amnt,term,int_rate,exp_default_rate,service_fee_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,credit_pull_d,review_status_d,review_status,url,desc,purpose,title,zip_code,addr_state,msa,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,total_il_high_credit_limit,num_rev_accts,mths_since_recent_bc_dlq,initial_list_status,ils_exp_d,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt,effective_int_rate,application_type,disbursement_method,annual_inc_joint,dti_joint,verified_status_joint,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,mtg_payment,housing_payment,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog
"135714203","153948764","5000.0","4675.0","36","8.08","1.88","0.83","156.87","A","A5","Supervisor ","10+ years","MORTGAGE","67000.0","Not Verified","06-24-2018 04:30:32","07-24-2018 10:00:00","06-24-2018 10:00:00","06-21-2018 19:54:06","06-24-2018 07:17:48","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135714203"," ","Credit card refinancing","Credit card refinancing","210xx","MD","","0","2","108","100.0","89.2","12.38","1","0.0","11-21-2004 16:00:00","675","679","0","14"," ","21","41","124","1","7","0","27449","1735.0","64.3","1000","17","37152","7"," ","f","","0","0","0","0","0","null","7","0","16","315652","262181","43697","1","1","1","76","0","0","0","9","157","2","163","16","2700","2","4","341","8.08","INDIVIDUAL","CASH"," "," "," ","0","2","0","1","21","25714.0","69.2","0","1","892.0","68.9","1","0","0","1716.88","1700"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135750047","153984807","5000.0","4200.0","36","14.52","7.40","1.15","172.16","C","C3","career coach","8 years","RENT","38000.0","Not Verified","06-22-2018 16:33:26","07-22-2018 18:00:00","06-22-2018 18:00:00","06-22-2018 16:29:03","06-22-2018 16:40:49","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135750047"," ","Debt consolidation","Debt consolidation","339xx","FL","","0","12","26577","0.0","15.6","27.86","0","0.0","04-21-2012 17:00:00","670","674","0","38"," ","7"," ","7","0","32","0","14167","5764.0","13.4","31500","34","19304","31"," ","f","","0","1","0","0","0","38","32","7","6","62204","14167","443","11","8","11","97","0","0","0","3","74","15","64","6","42900","15","31","256","14.26","INDIVIDUAL","CASH"," "," "," ","1","1","0","0","47","8403.0","43.5","7","12","2006.0","22.8","0","0","2","0","125"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135734039","153979722","10000.0","9100.0","36","6.83","1.88","0.83","308.0","A","A3","Owner","10+ years","RENT","43000.0","Not Verified","06-22-2018 12:27:57","07-22-2018 14:00:00","06-22-2018 14:00:00","06-22-2018 12:15:28","06-22-2018 13:46:41","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135734039"," ","Credit card refinancing","Credit card refinancing","010xx","MA","","0","10","26809","0.0","40.4","6.53","0","0.0","03-21-1974 17:00:00","755","759","2"," "," ","6"," ","5","0","8","0","13791","13791.0","30.8","40600","19","0","17"," ","f","","0","0","0","0","0","null","8","8","5","50600","13791","1724","15","5","7","100","0","0","0","2","138","5","531","5","50600","5","8","0","6.83","INDIVIDUAL","DIRECT_PAY"," "," "," ","5","0","0","0","111","0.0"," ","8","10","12717.0","30.8","0","0","3","0","1250"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135749340","153984049","10000.0","8875.0","36","6.19","1.88","0.83","305.09","A","A2","Warehouse Manager","9 years","MORTGAGE","45000.0","Not Verified","06-22-2018 14:35:40","07-22-2018 18:00:00","06-22-2018 18:00:00","06-22-2018 12:51:01","06-22-2018 14:50:48","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135749340"," ","Credit card refinancing","Credit card refinancing","720xx","AR","","0","0","4716","0.0","61.0","7.41","0","0.0","03-21-2014 17:00:00","725","729","0"," "," "," "," ","48","2","4","0","7919","7919.0","52.4","12100","6","0","3"," ","f","","0","0","0","0","0","null","4","0","37","155018","139375","34844","2","2","2","100","0","0","0","1","37","3","51","46","15100","3","3","0","6.19","INDIVIDUAL","CASH"," "," "," ","0","0","0","0","37","0.0"," ","0","0","4016.0","52.4","0","0","0","933","993"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135745701","153981408","28000.0","26700.0","36","16.46","7.40","1.15","990.77","C","C5","Vice President Innovation","< 1 year","OWN","176500.0","Not Verified","06-22-2018 19:56:21","07-23-2018 18:00:00","06-23-2018 18:00:00","06-22-2018 13:59:56","06-23-2018 15:51:46","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135745701"," ","Credit card refinancing","Credit card refinancing","294xx","SC","","0","2","0","100.0","100.6","27.33","0","0.0","05-21-2000 17:00:00","660","664","0"," "," ","0"," ","49","1","19","0","331494","37260.0","97.0","35200","40","273392","12"," ","f","","0","0","0","0","0","null","19","1","8","625385","623312","32806","10","5","5","100","0","0","0","27","167","6","217","8","38400","6","6","0","16.20","INDIVIDUAL","CASH"," "," "," ","0","12","0","1","14","294234.0","103.8","1","1","19307.0","101.3","0","0","3","2209.19"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"134979767","153061053","22500.0","21075.0","36","6.83","1.88","0.83","692.99","A","A3","Mortgage loan officer","10+ years","MORTGAGE","120000.0","Not Verified","06-24-2018 07:17:44","07-24-2018 10:00:00","06-24-2018 10:00:00","06-11-2018 17:53:23","06-24-2018 07:18:32","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134979767"," ","Debt consolidation","Debt consolidation","554xx","MN","","0","3","24951","30.0","57.5","17.92","0","0.0","05-11-1998 17:00:00","705","709","0"," "," ","8"," ","2","5","17","0","55793","46668.0","53.7","58700","29","25000","19"," ","f","","0","0","0","0","0","null","17","3","2","267743","204539","12032","14","8","10","100","0","0","0","4","164","11","241","2","86900","11","14","0","6.83","INDIVIDUAL","CASH"," "," "," ","2","1","0","0","26","8065.0","32.3","2","2","13246.0","48.2","0","1","1","1322","1344"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135712228","153946769","10000.0","8550.0","60","7.46","2.27","0.59","200.19","A","A4","Caseworker ","5 years","MORTGAGE","42000.0","Not Verified","06-23-2018 17:24:28","07-23-2018 18:00:00","06-23-2018 18:00:00","06-21-2018 19:35:31","06-23-2018 17:27:54","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135712228"," ","Credit card refinancing","Credit card refinancing","180xx","PA","","0","1","4922","0.0","36.9","12.71","0","0.0","09-21-1996 17:00:00","780","784","0"," "," ","22"," ","44","1","9","0","12016","4733.0","23.9","7800","16","19134","6"," ","f","","0","0","0","0","0","null","9","0","20","193634","162785","18087","3","2","3","100","0","0","0","9","261","3","72","44","19800","3","6","0","7.48","INDIVIDUAL","CASH"," "," "," ","0","2","0","0","53","7283.0","38.1","0","0","2749.0","30.9","0","1","0","1081.15","1081"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135725107","153970777","10000.0","8550.0","36","7.46","1.88","0.83","310.88","A","A4","Owner","10+ years","MORTGAGE","80000.0","Not Verified","06-22-2018 11:15:04","07-22-2018 14:00:00","06-22-2018 14:00:00","06-22-2018 11:11:52","06-22-2018 11:19:06","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135725107"," ","Credit card refinancing","Credit card refinancing","019xx","MA","","0","10","71071","0.0","9.3","15.51","0","0.0","01-21-2002 16:00:00","705","709","1","42"," ","2","42","1","1","16","0","9834","9834.0","10.2","78400","26","0","25","42","f","","0","5","0","0","0","42","16","8","1","96300","9834","656","12","2","7","75","0","0","0","0"," ","4","197","1","96300","4","16","0","7.46","INDIVIDUAL","CASH"," "," "," ","5","0","0","0"," ","0.0"," ","8","10","6662.0","10.2","0","0","3","0","1000"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135800521","154034460","6025.0","4525.0","36","10.56","3.95","0.97","196.0","B","B3","0wner","5 years","OWN","87000.0","Not Verified","06-24-2018 05:21:09","07-24-2018 06:00:00","06-24-2018 06:00:00","06-24-2018 05:20:29","06-24-2018 05:22:07","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135800521"," ","Debt consolidation","Debt consolidation","017xx","MA","","0","2","6324","50.0","63.2","7.32","0","0.0","06-23-1993 17:00:00","695","699","1","46"," ","1","46","11","0","5","0","16704","10876.0","59.8","17200","14","7500","12","46","f","","0","0","0","0","0","null","5","2","10","25700","16704","4176","9","2","3","92","0","0","0","2","145","2","300","11","18200","2","4","0","10.50","INDIVIDUAL","CASH"," "," "," ","0","1","1","1","10","5828.0","77.7","1","1","8695.0","65.0","2","0","2","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"135797885","154042856","5000.0","3450.0","36","12.13","3.95","0.97","166.39","B","B5","Registered Nurse","2 years","MORTGAGE","55000.0","Not Verified","06-24-2018 07:59:33","07-24-2018 10:00:00","06-24-2018 10:00:00","06-24-2018 07:57:24","06-24-2018 08:01:05","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135797885"," ","Debt consolidation","Debt consolidation","338xx","FL","","0","6","3834","33.3","59.2","30.35","1","0.0","11-23-2005 16:00:00","725","729","0","18"," ","9"," ","5","3","16","0","66111","7408.0","35.3","9400","38","78195","11"," ","f","","0","0","0","0","0","80","16","4","5","262260","216731","13546","6","6","6","97","0","0","0","24","151","8","62","5","21000","8","11","0","12.07","INDIVIDUAL","CASH"," "," "," ","1","4","2","3","8","58703.0","48.4","2","3","4028.0","43.7","3","1","2","999.17","980"," "," "," "," "," "," "," "," "," "," "," "," "," "
