id,member_id,loan_amnt,funded_amnt,term,int_rate,exp_default_rate,service_fee_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,credit_pull_d,review_status_d,review_status,url,desc,purpose,title,zip_code,addr_state,msa,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,total_il_high_credit_limit,num_rev_accts,mths_since_recent_bc_dlq,initial_list_status,ils_exp_d,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt,effective_int_rate,application_type,disbursement_method,annual_inc_joint,dti_joint,verified_status_joint,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,mtg_payment,housing_payment,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog
"135081976","153176688","20000.0","7625.0","36","14.52","7.40","1.15","688.62","C","C3","conductor","10+ years","MORTGAGE","98106.0","Not Verified","06-18-2018 08:05:42","07-18-2018 10:00:00","06-18-2018 10:00:00","06-18-2018 07:59:58","06-18-2018 08:27:09","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135081976"," ","Debt consolidation","Debt consolidation","700xx","LA","","0","3","6998","66.7","57.3","18.5","2","0.0","10-17-2001 17:00:00","670","674","0","12"," ","12","12","23","3","11","0","45979","9402.0","42.0","16400","27","54068","16","16","f","","0","3","0","0","0","46","11","1","12","295835","208567","18961","6","3","3","91","0","0","0","8","146","3","200","18","22400","3","8","1125","14.26","INDIVIDUAL","CASH"," "," "," ","0","2","1","1","12","36577.0","78.3","0","2","4687.0","57.7","1","2","1","1228.78","1222"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135318915","153591315","16000.0","2925.0","36","10.07","3.95","0.97","516.81","B","B2","Registered Nurse ","4 years","RENT","95000.0","Source Verified","06-15-2018 18:18:52","07-18-2018 10:00:00","06-18-2018 10:00:00","06-15-2018 17:35:38","06-18-2018 06:21:56","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135318915"," ","Debt consolidation","Debt consolidation","973xx","OR","","0","9","5444","0.0","27.4","6.28","0","0.0","03-15-2003 16:00:00","670","674","3","24","82","0","24","11","0","9","1","159827","3658.0","23.3","7500","22","153018","11"," ","f","","1","0","0","0","0","null","9","2","3","168718","159827","17759","4","1","4","86","0","0","0","11","183","3","80","3","15700","3","7","1424","10.01","INDIVIDUAL","CASH"," "," "," ","1","2","0","2","14","156169.0","68.3","2","7","2056.0","42.0","2","5","6","0","870"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135344543","153618972","27800.0","13525.0","36","11.05","3.95","0.97","910.8","B","B4","Police Dispatch","6 years","MORTGAGE","45000.0","Not Verified","06-15-2018 21:19:57","07-18-2018 10:00:00","06-18-2018 10:00:00","06-15-2018 21:16:35","06-18-2018 07:45:13","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135344543"," ","Debt consolidation","Debt consolidation","852xx","AZ","","0","1","21055","66.7","62.8","38.24","0","0.0","12-15-1995 16:00:00","730","734","1"," "," ","3"," ","36","6","12","0","45607","35545.0","58.2","56600","22","28889","12"," ","f","","0","0","0","0","0","null","12","1","10","381629","334055","27838","6","6","6","100","0","0","0","4","89","6","270","36","61100","6","8","0","10.99","JOINT","CASH","154000.0","29.37","Not Verified","0","3","0","0","31","10062.0","34.8","0","0","13055.0","50.7","1","0","2","1990.45","1990","65703","700","704","12-15-1995 16:00:00","1","6","19","40.2","3","17","0","0","61"
"135421063","153675817","20000.0","4500.0","36","14.52","7.40","1.15","688.62","C","C3","Computer Tech","4 years","MORTGAGE","70000.0","Source Verified","06-17-2018 19:23:49","07-18-2018 06:00:00","06-18-2018 06:00:00","06-17-2018 18:37:07","06-17-2018 19:38:27","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135421063"," ","Home improvement","Home improvement","381xx","TN","","0","3","2121","0.0","42.7","11.9","0","0.0","11-17-2014 16:00:00","700","704","2"," "," ","1"," ","8","0","5","0","19325","1579.0","42.7","3700","6","24054","3"," ","f","","0","0","0","0","0","null","5","2","6","27754","19325","3865","3","3","3","100","0","0","0","3","26","3","43","8","3700","3","3","0","14.26","INDIVIDUAL","CASH"," "," "," ","1","2","1","2","6","17746.0","73.8","1","1","776.0","69.6","1","0","6","0","350"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135443122","153697940","24000.0","7725.0","36","10.07","3.95","0.97","775.21","B","B2","Sr qa analyst ","2 years","RENT","95000.0","Not Verified","06-18-2018 07:44:07","07-18-2018 10:00:00","06-18-2018 10:00:00","06-18-2018 07:31:52","06-18-2018 08:20:17","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135443122"," ","Debt consolidation","Debt consolidation","070xx","NJ","","0","1","18946","0.0","29.3","21.75","0","0.0","09-17-2011 17:00:00","750","754","0"," "," ","10"," ","38","0","12","0","36110","8229.0","27.6","26800","17","46943","10"," ","f","","0","0","0","0","0","null","12","1","10","76743","36110","3009","6","4","6","100","0","0","0","7","72","6","81","38","29800","6","9","0","10.01","INDIVIDUAL","CASH"," "," "," ","0","3","1","1","10","27881.0","59.4","0","0","3265.0","47.1","1","1","1","0","1250"," "," "," "," "," "," "," "," "," "," "," "," "," "
"134582402","152514327","30000.0","13500.0","36","6.19","1.88","0.83","915.25","A","A2","Infrastructure Operations Technician ","7 years","RENT","85000.0","Not Verified","06-14-2018 16:26:39","07-15-2018 14:00:00","06-15-2018 14:00:00","06-01-2018 17:26:47","06-15-2018 10:27:06","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134582402"," ","Credit card refinancing","Credit card refinancing","981xx","WA","","0","0","19280","0.0","42.8","6.41","0","0.0","07-01-2001 17:00:00","705","709","1"," "," ","2"," ","141","0","5","0","19612","19612.0","45.2","33700","9","0","7"," ","f","","0","0","0","0","0","null","5","0","113","43400","19612","3922","3","3","3","100","0","0","0","2","156","5","203","113","43400","5","5","0","6.19","INDIVIDUAL","CASH"," "," "," ","0","0","0","0","143","0.0"," ","0","0","7663.0","45.2","0","0","2","0","900"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135397084","153661789","26000.0","9475.0","36","5.31","1.88","0.83","782.87","A","A1","College Research Analyst","10+ years","MORTGAGE","75161.0","Not Verified","06-17-2018 11:14:59","07-17-2018 14:00:00","06-17-2018 14:00:00","06-17-2018 11:08:03","06-17-2018 11:16:53","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135397084"," ","Debt consolidation","Debt consolidation","953xx","CA","","0","5","13229","0.0","3.4","36.02","0","0.0","12-16-2001 16:00:00","770","774","0","46"," "," ","46","11","2","14","0","155277","471.0","2.5","13700","46","170808","17","46","f","","0","2","0","0","0","46","14","3","3","559708","387322","27666","12","2","2","93","0","0","0","27","131","2","198","3","18900","2","5","0","5.31","JOINT","CASH","148186.0","21.64","Not Verified","2","8","1","3","4","154806.0","70.7","2","2","442.0","60.2","0","1","0","1570.77","690","25219","750","754","09-16-1995 17:00:00","0","2","10","5.6","5","16","0","0","46"
"135152819","153435878","24000.0","6650.0","36","5.31","1.88","0.83","722.65","A","A1","Medical Social Work","10+ years","MORTGAGE","96000.0","Source Verified","06-14-2018 15:21:16","07-18-2018 10:00:00","06-18-2018 10:00:00","06-14-2018 15:18:31","06-18-2018 09:50:49","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135152819"," ","Home improvement","Home improvement","800xx","CO","","0","1","51763","0.0","1.2","0.44","0","0.0","03-13-2001 16:00:00","810","814","0"," "," "," "," ","89","5","5","0","637","637.0","1.2","52400","20","0","8"," ","f","","0","0","0","0","0","null","5","0","20","424400","343330","68666","6","1","4","100","0","0","0","7","177","1","207","89","52400","1","4","0","5.31","INDIVIDUAL","CASH"," "," "," ","0","0","0","1","20","0.0"," ","0","0","637.0","1.2","0","0","0","2895.2","2800"," "," "," "," "," "," "," "," "," "," "," "," "," "
"134536027","152398831","33500.0","15925.0","36","7.46","1.88","0.83","1041.45","A","A4","Ps -7  clerk ","10+ years","OWN","125000.0","Source Verified","06-15-2018 13:55:23","07-15-2018 18:00:00","06-15-2018 18:00:00","06-01-2018 02:25:13","06-15-2018 13:59:46","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134536027"," ","Credit card refinancing","Credit card refinancing","452xx","OH","","0","11","57300","0.0","28.6","18.18","0","0.0","06-30-2010 17:00:00","690","694","0"," "," ","8"," ","2","0","19","0","45127","28871.0","28.2","80300","28","33117","22"," ","f","","0","0","0","0","0","null","19","5","2","135517","45127","2375","15","11","12","100","0","0","0","6","95","14","58","2","102400","14","17","0","7.46","INDIVIDUAL","CASH"," "," "," ","1","2","0","2","15","16256.0","49.1","5","9","8746.0","33.3","1","5","2","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"135088295","153184022","25000.0","6775.0","36","20.39","11.46","1.37","934.07","D","D4","Agent ","10+ years","RENT","145000.0","Not Verified","06-13-2018 14:04:56","07-18-2018 10:00:00","06-18-2018 10:00:00","06-13-2018 14:00:12","06-18-2018 09:03:28","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135088295"," ","Debt consolidation","Debt consolidation","481xx","MI","","0","7","2747","66.7","81.3","20.97","0","0.0","04-12-2001 17:00:00","675","679","0","36"," ","5"," ","12","0","21","0","96778","25474.0","68.1","14700","28","101647","22"," ","f","","0","0","0","0","0","null","21","3","7","139047","96778","4608","7","5","6","96","0","0","0","6","152","10","206","7","37400","10","19","0","19.75","INDIVIDUAL","CASH"," "," "," ","0","2","0","0","28","71304.0","31.4","3","7","4009.0","58.5","0","0","3","0","1200"," "," "," "," "," "," "," "," "," "," "," "," "," "
